condition,rep,seed,inherit_prob,overlay_kind,overlay_strength,overlay_error,overlay_corr,mi_thr,stab_window,t_cross,t_stab,dwell,n_innov,fitness_final,mi_final,delta_fitness,delta_mi,t_fit,lag_fit_minus_stab
baseline,0,3892302172,0.8,none,0.0,0.0,0.0,0.320527666086021,20,42.0,,0.12,13,32.621875,0.31763295863932506,0.15156250000000426,0.04590085343640504,,
baseline,1,3892302173,0.8,none,0.0,0.0,0.0,0.320527666086021,20,11.0,,0.105,12,33.29765625,0.3038054269617241,0.25312500000000426,0.048011209018677836,,
baseline,2,3892302174,0.8,none,0.0,0.0,0.0,0.320527666086021,20,59.0,,0.095,9,33.06875,0.31688377170867055,0.16953124999999858,0.05615010624023559,,
baseline,3,3892302175,0.8,none,0.0,0.0,0.0,0.320527666086021,20,11.0,,0.095,9,33.62421875,0.31306363984922114,0.921875,0.05615587855032922,,
baseline,4,3892302176,0.8,none,0.0,0.0,0.0,0.320527666086021,20,25.0,,0.035,6,33.78515625,0.30193682211014555,0.80859375,0.03689925166022606,,
baseline,5,3892302177,0.8,none,0.0,0.0,0.0,0.320527666086021,20,15.0,,0.09,12,33.7296875,0.2979956205627249,0.5710937499999957,0.0391386755103984,,
baseline,6,3892302178,0.8,none,0.0,0.0,0.0,0.320527666086021,20,25.0,,0.15,21,32.99296875,0.3217661427922679,0.28593750000000284,0.0664950411868101,,
baseline,7,3892302179,0.8,none,0.0,0.0,0.0,0.320527666086021,20,7.0,,0.15,19,33.50390625,0.2936435803620028,-0.1171875,0.027430889415450688,,
baseline,8,3892302180,0.8,none,0.0,0.0,0.0,0.320527666086021,20,40.0,,0.105,13,32.41796875,0.3183937063005031,-0.15625,0.05919843819403392,,
baseline,9,3892302181,0.8,none,0.0,0.0,0.0,0.320527666086021,20,31.0,,0.085,11,32.75625,0.32054245046677665,0.875,0.06272982388456805,,
baseline,10,3892302182,0.8,none,0.0,0.0,0.0,0.320527666086021,20,11.0,,0.125,15,32.975,0.316233557717957,-0.3046875,0.046047918431559864,,
baseline,11,3892302183,0.8,none,0.0,0.0,0.0,0.320527666086021,20,13.0,,0.095,13,33.38984375,0.30635305029579457,0.7515624999999986,0.04512164285692105,,
baseline,12,3892302184,0.8,none,0.0,0.0,0.0,0.320527666086021,20,25.0,,0.11,14,32.803125,0.29607019052886535,-0.014062500000001421,0.03670410226354465,,
baseline,13,3892302185,0.8,none,0.0,0.0,0.0,0.320527666086021,20,16.0,,0.08,14,32.7109375,0.3016319477836277,-0.14531250000000284,0.04479459250340184,,
baseline,14,3892302186,0.8,none,0.0,0.0,0.0,0.320527666086021,20,14.0,,0.095,10,33.7828125,0.3136864240770104,0.30390624999999716,0.049831354567934305,,
baseline,15,3892302187,0.8,none,0.0,0.0,0.0,0.320527666086021,20,22.0,,0.08,11,33.30078125,0.31119210893948435,0.7039062500000028,0.04931950343983382,,
baseline,16,3892302188,0.8,none,0.0,0.0,0.0,0.320527666086021,20,6.0,,0.145,18,33.18515625,0.308398818885711,0.6453124999999957,0.05861993041526198,,
baseline,17,3892302189,0.8,none,0.0,0.0,0.0,0.320527666086021,20,19.0,,0.045,7,32.10390625,0.31314371310398814,-0.8031250000000014,0.05351688032454899,,
baseline,18,3892302190,0.8,none,0.0,0.0,0.0,0.320527666086021,20,27.0,,0.105,15,32.80078125,0.31164109625386943,-0.3734375000000014,0.05389781949063016,,
baseline,19,3892302191,0.8,none,0.0,0.0,0.0,0.320527666086021,20,11.0,,0.145,15,32.69609375,0.30254124438639707,-0.02734375,0.042734375951982095,,
baseline,20,3892302192,0.8,none,0.0,0.0,0.0,0.320527666086021,20,30.0,,0.13,15,33.5265625,0.3102718145628799,0.23984374999999858,0.052941740996112985,,
baseline,21,3892302193,0.8,none,0.0,0.0,0.0,0.320527666086021,20,14.0,,0.1,10,32.85703125,0.31587703511192045,-0.1953125,0.058912300555521324,,
baseline,22,3892302194,0.8,none,0.0,0.0,0.0,0.320527666086021,20,38.0,,0.115,12,33.15078125,0.2992397530420964,0.73046875,0.0411985296607284,,
baseline,23,3892302195,0.8,none,0.0,0.0,0.0,0.320527666086021,20,95.0,,0.08,10,32.49140625,0.3057200930550795,-0.12265625000000568,0.04896235038519292,,
baseline,24,3892302196,0.8,none,0.0,0.0,0.0,0.320527666086021,20,11.0,,0.135,14,32.73671875,0.30811330545581195,-0.6124999999999972,0.04930871178510887,,
baseline,25,3892302197,0.8,none,0.0,0.0,0.0,0.320527666086021,20,26.0,,0.095,11,33.75625,0.30321391777480294,0.5343750000000043,0.04756105409555539,,
baseline,26,3892302198,0.8,none,0.0,0.0,0.0,0.320527666086021,20,8.0,,0.19,17,32.1234375,0.3093966778991267,-0.109375,0.04444320864820428,,
baseline,27,3892302199,0.8,none,0.0,0.0,0.0,0.320527666086021,20,47.0,,0.09,14,33.16015625,0.3172692568335145,0.25859375000000284,0.05736675560699145,,
baseline,28,3892302200,0.8,none,0.0,0.0,0.0,0.320527666086021,20,46.0,,0.1,11,32.2640625,0.3207181985088739,-0.6023437499999957,0.06115194501403115,,
baseline,29,3892302201,0.8,none,0.0,0.0,0.0,0.320527666086021,20,11.0,,0.195,20,32.475,0.2965792344965667,-0.6007812499999972,0.03916237249252991,,
TAC_s0.25,0,3189765838,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,40.0,0.81,21,33.29609375,0.31594019881484586,0.3921874999999986,0.05480184139586636,,
TAC_s0.25,1,3189765839,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,27.0,0.795,15,32.6828125,0.33648680987514706,-0.96875,0.07713308049869844,,
TAC_s0.25,2,3189765840,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,16.0,0.84,14,35.125,0.34957195386026285,2.207812500000003,0.08223668689684316,,
TAC_s0.25,3,3189765841,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,122.0,0.71,24,33.46953125,0.33912212252628,0.3101562500000057,0.07397675199954706,,
TAC_s0.25,4,3189765842,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,4.0,10.0,0.7,19,33.63046875,0.3348973946782329,0.6968749999999986,0.07963167112256297,,
TAC_s0.25,5,3189765843,0.8,TAC,0.25,0.01,0.0,0.320527666086021,20,6.0,6.0,0.755,15,33.02265625,0.3188888549772105,0.45624999999999716,0.05622782247229147,,
