condition,rep,seed,t,fitness,mi,inherit_prob,overlay_kind,overlay_strength,overlay_error,overlay_corr
baseline,0,3892302172,0,32.4703125,0.27173210520292,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,1,33.71171875,0.2759327772246942,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,2,32.68515625,0.2885775867454792,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,3,33.00234375,0.2863161576905204,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,4,32.43671875,0.299593640105982,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,5,31.990625,0.29671729132952085,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,6,32.490625,0.306099883448696,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,7,32.6609375,0.30855745578077964,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,8,33.14140625,0.3002230632024078,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,9,33.61015625,0.3020944767561292,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,10,32.77265625,0.30538061002843225,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,11,32.85625,0.3175081999293201,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,12,33.278125,0.3107698654769565,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,13,32.86171875,0.301099146532426,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,14,32.20234375,0.2918992230081147,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,15,33.303125,0.3007634523541874,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,16,33.58046875,0.30049463297808615,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,17,33.30625,0.29474765188306506,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,18,34.22890625,0.2898018966160285,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,19,32.80625,0.2984785923835557,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,20,33.69375,0.3046525013523652,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,21,33.12109375,0.2954178946590161,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,22,33.121875,0.3111315524357554,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,23,33.278125,0.30275030335066605,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,24,34.10234375,0.30533218609968615,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,25,33.14609375,0.29466736384664083,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,26,33.49921875,0.29903487293112835,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,27,33.159375,0.2985237153600883,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,28,33.24140625,0.2954099354355197,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,29,33.31484375,0.2934525218843366,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,30,32.83359375,0.28365998114447893,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,31,33.37890625,0.2967805891902947,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,32,33.22578125,0.30000952061681785,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,33,33.0609375,0.3163665639589819,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,34,32.74609375,0.30268362073738353,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,35,32.9640625,0.3064191559399624,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,36,33.30859375,0.29135385364398936,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,37,33.8234375,0.29852083024649134,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,38,33.24453125,0.29732789516155844,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,39,34.66875,0.30807060171345424,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,40,33.5671875,0.3113832426821587,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,41,33.85234375,0.31465142052583195,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,42,34.36640625,0.32741997406292656,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,43,33.85390625,0.32169565907993597,0.8,none,0.0,0.0,0.0
baseline,0,3892302172,44,34.46484375,0.31762679445009895,0.8,none,0.0,0.0,0.0
