overlay_kind,inherit_prob,n_reps,n_stab,p_stab,p_stab_ci_lo,p_stab_ci_hi,mean_dwell,mean_dwell_ci_lo,mean_dwell_ci_hi,mean_delta_fitness,mean_delta_fitness_ci_lo,mean_delta_fitness_ci_hi,mean_delta_mi,mean_delta_mi_ci_lo,mean_delta_mi_ci_hi,mean_fitness_final,mean_fitness_final_ci_lo,mean_fitness_final_ci_hi
AR,0.5,30,0,0.0,0.0,0.113517091390478,0.00016666666666666666,0.0,0.0005,0.4913020833333332,0.20048502604166588,0.7893079427083327,0.0024955011431550423,-0.00632033858250854,0.010436498118613908,33.50489583333333,33.25582096354167,33.78161393229167
AR,0.6,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.5432552083333327,0.2694042968749991,0.8356516927083325,0.005461871878738663,-0.001512360000136611,0.012745680211760277,33.382786458333335,33.15037630208333,33.649384114583334
AR,0.7,30,0,0.0,0.0,0.113517091390478,0.0015000000000000002,0.0,0.003833333333333333,0.4777083333333328,0.2515195312500001,0.6979954427083329,0.018974912331831503,0.013530494470382246,0.024202739377596053,33.451718750000005,33.26944401041667,33.64720052083334
AR,0.8,30,0,0.0,0.0,0.113517091390478,0.06016666666666666,0.044333333333333336,0.0791708333333333,0.6097916666666665,0.3535039062499998,0.8408867187499991,0.015024122951788937,0.006003049477763216,0.02416607560433197,33.42630208333333,33.21875716145833,33.63385742187501
AR,0.9,30,30,1.0,0.8864829086095221,1.0,0.8790000000000001,0.8196625,0.9323416666666667,0.7950781249999994,0.4970703124999999,1.1008639322916658,0.07757791039682962,0.0684024910549988,0.08689610229454925,33.75635416666667,33.484564453124996,34.034542317708336
AR,1.0,30,30,1.0,0.8864829086095221,1.0,0.9854999999999998,0.9849999999999999,0.9861666666666664,6.326614583333334,5.7196569010416685,6.898624999999999,0.26259331174361206,0.25261930172176006,0.2725959627438926,39.34494791666667,38.741169921875,39.928923177083334
PB,0.5,30,0,0.0,0.0,0.113517091390478,0.0,0.0,0.0,0.09916666666666624,-0.09110872395833361,0.27869856770833235,0.030112694739420322,0.027928801828298457,0.032175532702691204,32.960260416666664,32.7994765625,33.127169921875
PB,0.6,30,0,0.0,0.0,0.113517091390478,0.036500000000000005,0.031166666666666672,0.04166666666666667,0.2156510416666663,-0.0183326822916666,0.45078580729166606,0.04422006380102324,0.04104026224390189,0.04701512899823561,33.033828125,32.840363932291666,33.233813802083326
PB,0.7,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.8580000000000002,0.8456666666666667,0.8710041666666668,0.0913541666666672,-0.09295052083333315,0.2919121093749996,0.07449527871112863,0.07012256285652935,0.07917856140393575,33.14341145833333,32.98924283854167,33.313224609375006
PB,0.8,30,30,1.0,0.8864829086095221,1.0,0.9919999999999998,0.9911666666666664,0.9928333333333335,0.6389583333333334,0.42060872395833376,0.8704531249999995,0.1117110697665822,0.10664291504174735,0.11705731624841638,33.50955729166667,33.339396484374994,33.67947265625
